sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
298,closed,1,400.0,100,1.72684,0.0775,5.2675,4.0
298,closed,2,740.0,100,1.72886,0.07568,5.51892,7.4
298,closed,3,1112.0,100,1.71524,0.07644,5.66772,11.12
298,virtual,1,200.0,50,1.75647,0.09,5.3575,4.0
298,virtual,2,370.0,50,1.78166,0.1,5.5518,7.4
298,virtual,3,552.0,50,1.79963,0.10326,5.70411,11.04
300,closed,1,400.0,100,1.75979,0.0925,5.29083,4.0
300,closed,2,733.0,100,1.69333,0.06412,5.55025,7.33
300,closed,3,1118.0,100,1.78008,0.09481,5.65146,11.18
300,virtual,1,200.0,50,1.73722,0.08,5.3,4.0
300,virtual,2,367.0,50,1.75821,0.08992,5.55313,7.34
300,virtual,3,524.0,50,1.73016,0.07634,5.76718,10.48
302,closed,1,400.0,100,1.68824,0.065,5.29208,4.0
302,closed,2,743.0,100,1.73715,0.0821,5.52557,7.43
302,closed,3,1134.0,100,1.71903,0.07496,5.64932,11.34
302,virtual,1,200.0,50,1.68854,0.065,5.42167,4.0
302,virtual,2,361.0,50,1.69464,0.06094,5.7096,7.22
302,virtual,3,592.0,50,1.81123,0.10811,5.6661,11.84
304,closed,1,400.0,100,1.72684,0.0775,5.29833,4.0
304,closed,2,735.0,100,1.69401,0.06803,5.53628,7.35
304,closed,3,1117.0,100,1.74069,0.08326,5.65354,11.17
304,virtual,1,200.0,50,1.63398,0.05,5.20833,4.0
304,virtual,2,366.0,50,1.74189,0.0847,5.64526,7.32
304,virtual,3,545.0,50,1.68591,0.06239,5.69511,10.9
306,closed,1,400.0,100,1.75982,0.0875,5.2975,4.0
306,closed,2,737.0,100,1.68581,0.06513,5.55111,7.37
306,closed,3,1126.0,100,1.7681,0.09236,5.63618,11.26
306,virtual,1,200.0,50,1.7507,0.085,5.44917,4.0
306,virtual,2,369.0,50,1.7795,0.09485,5.68022,7.38
306,virtual,3,568.0,50,1.73514,0.08099,5.76027,11.36
308,closed,1,400.0,100,1.67814,0.065,5.3025,4.0
308,closed,2,750.0,100,1.74794,0.08533,5.54933,7.5
308,closed,3,1125.0,100,1.71568,0.07556,5.6443,11.25
308,virtual,1,200.0,50,1.8115,0.11,5.1325,4.0
308,virtual,2,327.0,50,1.71722,0.07645,5.64883,6.54
308,virtual,3,472.0,50,1.68527,0.06568,5.78284,9.44
310,closed,1,400.0,100,1.70417,0.0725,5.28917,4.0
310,closed,2,733.0,100,1.71512,0.07367,5.5598,7.33
