sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
282,virtual,3,544.0,50,1.77054,0.09191,5.62714,10.88
284,fail,1,400.0,100,1.73014,0.09,5.39333,4.0
284,fail,2,722.0,100,1.72224,0.07341,5.65836,7.22
284,fail,3,1102.0,100,1.72385,0.07713,5.72172,11.02
284,virtual,1,200.0,50,1.73225,0.08,5.395,4.0
284,virtual,2,393.0,50,1.75969,0.0916,5.56828,7.86
284,virtual,3,587.0,50,1.69065,0.06133,5.68143,11.74
286,fail,1,400.0,100,1.71529,0.085,5.39083,4.0
286,fail,2,725.0,100,1.68188,0.06207,5.66207,7.25
286,fail,3,1088.0,100,1.70939,0.07353,5.73591,10.88
286,virtual,1,200.0,50,1.77575,0.095,5.215,4.0
286,virtual,2,384.0,50,1.72222,0.07812,5.51259,7.68
286,virtual,3,528.0,50,1.65208,0.05492,5.68782,10.56
288,fail,1,400.0,100,1.68044,0.07,5.38417,4.0
288,fail,2,733.0,100,1.71377,0.07094,5.64575,7.33
288,fail,3,1092.0,100,1.71205,0.07051,5.74618,10.92
288,virtual,1,200.0,50,1.7958,0.105,5.25833,4.0
288,virtual,2,340.0,50,1.72223,0.07353,5.61422,6.8
288,virtual,3,508.0,50,1.75713,0.08661,5.71719,10.16
290,fail,1,400.0,100,1.73357,0.09,5.40917,4.0
290,fail,2,728.0,100,1.7455,0.08516,5.68361,7.28
290,fail,3,1106.0,100,1.7384,0.07957,5.74307,11.06
290,virtual,1,200.0,50,1.68542,0.07,5.40417,4.0
290,virtual,2,360.0,50,1.73584,0.08056,5.59352,7.2
290,virtual,3,557.0,50,1.75994,0.08797,5.64961,11.14
292,fail,1,400.0,100,1.71433,0.08,5.41833,4.0
292,fail,2,718.0,100,1.75996,0.08635,5.68686,7.18
292,fail,3,1122.0,100,1.74075,0.08378,5.7249,11.22
292,virtual,1,200.0,50,1.59565,0.035,5.14167,4.0
292,virtual,2,353.0,50,1.69862,0.06516,5.45279,7.06
292,virtual,3,507.0,50,1.72172,0.07692,5.66601,10.14
294,fail,1,400.0,100,1.68882,0.075,5.39667,4.0
294,fail,2,715.0,100,1.71648,0.07273,5.6683,7.15
294,fail,3,1108.0,100,1.70914,0.07491,5.72458,11.08
294,virtual,1,200.0,50,1.67533,0.06,5.425,4.0
294,virtual,2,396.0,50,1.7053,0.07323,5.56566,7.92
294,virtual,3,606.0,50,1.6694,0.05776,5.64246,12.12
296,fail,1,400.0,100,1.68862,0.075,5.41625,4.0
296,fail,2,724.0,100,1.72955,0.08011,5.66321,7.24
296,fail,3,1128.0,100,1.71721,0.07624,5.71424,11.28
296,virtual,1,200.0,50,1.75737,0.09,5.20583,4.0
296,virtual,2,347.0,50,1.75466,0.08646,5.53987,6.94
296,virtual,3,526.0,50,1.7561,0.08745,5.64924,10.52
298,fail,1,400.0,100,1.62919,0.0525,5.42417,4.0
298,fail,2,726.0,100,1.71383,0.07163,5.65817,7.26
298,fail,3,1140.0,100,1.74454,0.08509,5.69883,11.4
298,virtual,1,200.0,50,1.68336,0.06,5.3525,4.0
298,virtual,2,372.0,50,1.67249,0.06452,5.59722,7.44
298,virtual,3,577.0,50,1.68979,0.06412,5.64154,11.54
300,fail,1,400.0,100,1.71252,0.0825,5.43792,4.0
300,fail,2,735.0,100,1.74876,0.08844,5.63628,7.35
300,fail,3,1143.0,100,1.736,0.08136,5.72106,11.43
300,virtual,1,200.0,50,1.67364,0.06,5.2775,4.0
300,virtual,2,351.0,50,1.73406,0.08262,5.61681,7.02
300,virtual,3,547.0,50,1.80598,0.1042,5.63071,10.94
302,fail,1,400.0,100,1.71285,0.075,5.42958,4.0
302,fail,2,735.0,100,1.7177,0.07347,5.65261,7.35
302,fail,3,1147.0,100,1.71731,0.07411,5.69951,11.47
302,virtual,1,200.0,50,1.81843,0.115,5.20833,4.0
302,virtual,2,348.0,50,1.72494,0.07759,5.54502,6.96
302,virtual,3,521.0,50,1.74837,0.08445,5.69674,10.42
304,fail,1,400.0,100,1.66335,0.065,5.41833,4.0
304,fail,2,738.0,100,1.7279,0.07859,5.64657,7.38
304,fail,3,1132.0,100,1.71244,0.07067,5.71408,11.32
304,virtual,1,200.0,50,1.79072,0.105,5.31833,4.0
304,virtual,2,365.0,50,1.72464,0.08219,5.61553,7.3
304,virtual,3,542.0,50,1.7313,0.08118,5.78413,10.84
306,fail,1,400.0,100,1.63732,0.0575,5.43708,4.0
306,fail,2,738.0,100,1.70275,0.07046,5.62263,7.38
306,fail,3,1129.0,100,1.71934,0.07617,5.69973,11.29
306,virtual,1,200.0,50,1.77844,0.09,5.15667,4.0
306,virtual,2,358.0,50,1.63102,0.04749,5.49255,7.16
306,virtual,3,548.0,50,1.68848,0.06752,5.73236,10.96
308,fail,1,400.0,100,1.67772,0.0675,5.40625,4.0
308,fail,2,726.0,100,1.76367,0.08953,5.66093,7.26
308,fail,3,1128.0,100,1.72776,0.07713,5.70789,11.28
308,virtual,1,200.0,50,1.77406,0.095,5.3625,4.0
308,virtual,2,357.0,50,1.7632,0.08964,5.51821,7.14
308,virtual,3,540.0,50,1.7561,0.08889,5.59414,10.8
310,fail,1,400.0,100,1.72649,0.08,5.44292,4.0
310,fail,2,729.0,100,1.72077,0.07545,5.65592,7.29
310,fail,3,1147.0,100,1.68905,0.06539,5.66536,11.47
310,virtual,1,200.0,50,1.66717,0.06,5.2975,4.0
310,virtual,2,374.0,50,1.67272,0.0615,5.5098,7.48
310,virtual,3,554.0,50,1.6817,0.06679,5.74729,11.08
312,fail,1,400.0,100,1.71756,0.08,5.4025,4.0
312,fail,2,723.0,100,1.74401,0.08299,5.6586,7.23
312,fail,3,1115.0,100,1.73385,0.07892,5.70419,11.15
312,virtual,1,200.0,50,1.79749,0.105,5.1425,4.0
312,virtual,2,357.0,50,1.60231,0.03641,5.52148,7.14
312,virtual,3,496.0,50,1.69841,0.07056,5.68448,9.92
314,fail,1,400.0,100,1.64065,0.0575,5.40542,4.0
314,fail,2,719.0,100,1.69234,0.06398,5.65392,7.19
314,fail,3,1108.0,100,1.67169,0.06137,5.71119,11.08
314,virtual,1,200.0,50,1.74934,0.085,5.315,4.0
314,virtual,2,357.0,50,1.71484,0.07283,5.57983,7.14
314,virtual,3,598.0,50,1.66297,0.05853,5.64604,11.96
316,fail,1,400.0,100,1.72584,0.0825,5.41917,4.0
316,fail,2,720.0,100,1.71675,0.07778,5.66574,7.2
316,fail,3,1137.0,100,1.7124,0.07124,5.70199,11.37
316,virtual,1,200.0,50,1.63123,0.045,5.12417,4.0
316,virtual,2,364.0,50,1.70276,0.07143,5.48626,7.28
316,virtual,3,512.0,50,1.62314,0.04297,5.68587,10.24
318,fail,1,400.0,100,1.7013,0.075,5.40167,4.0
318,fail,2,727.0,100,1.73538,0.0784,5.66919,7.27
318,fail,3,1123.0,100,1.72096,0.07836,5.73464,11.23
318,virtual,1,200.0,50,1.82878,0.115,5.33417,4.0
318,virtual,2,373.0,50,1.76228,0.08847,5.62243,7.46
318,virtual,3,558.0,50,1.7302,0.08244,5.72879,11.16
320,fail,1,400.0,100,1.66405,0.065,5.40458,4.0
320,fail,2,722.0,100,1.72432,0.07756,5.67913,7.22
320,fail,3,1124.0,100,1.75856,0.09164,5.72316,11.24
320,virtual,1,200.0,50,1.75627,0.09,5.315,4.0
320,virtual,2,364.0,50,1.77012,0.09066,5.59066,7.28
320,virtual,3,539.0,50,1.75575,0.0872,5.65553,10.78
322,fail,1,400.0,100,1.75903,0.095,5.41375,4.0
322,fail,2,728.0,100,1.74025,0.07967,5.67033,7.28
322,fail,3,1131.0,100,1.7379,0.08134,5.70041,11.31
322,virtual,1,200.0,50,1.72093,0.075,5.3325,4.0
322,virtual,2,361.0,50,1.72454,0.07756,5.63527,7.22
