sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
316,fail,1,400.0,100,1.6649,0.065,5.29417,4.0
316,fail,2,711.0,100,1.65726,0.05345,5.61463,7.11
316,fail,3,1169.0,100,1.738,0.08212,5.61662,11.69
316,virtual,1,200.0,50,1.67603,0.06,5.24667,4.0
316,virtual,2,338.0,50,1.71125,0.07101,5.6213,6.76
316,virtual,3,515.0,50,1.67938,0.06602,5.77994,10.3
318,fail,1,400.0,100,1.65,0.06,5.28542,4.0
318,fail,2,709.0,100,1.74127,0.08463,5.61495,7.09
318,fail,3,1169.0,100,1.7224,0.07784,5.64286,11.69
318,virtual,1,200.0,50,1.73752,0.08,5.09833,4.0
318,virtual,2,317.0,50,1.75345,0.08517,5.60831,6.34
318,virtual,3,465.0,50,1.7386,0.08602,5.75018,9.3
320,fail,1,400.0,100,1.6798,0.07,5.28,4.0
320,fail,2,717.0,100,1.71103,0.07671,5.59205,7.17
320,fail,3,1159.0,100,1.73365,0.08024,5.64265,11.59
320,virtual,1,200.0,50,1.78644,0.1,5.315,4.0
320,virtual,2,365.0,50,1.74703,0.08767,5.64932,7.3
320,virtual,3,539.0,50,1.73384,0.08163,5.76129,10.78
322,fail,1,400.0,100,1.72456,0.0775,5.28542,4.0
322,fail,2,715.0,100,1.69067,0.06853,5.61678,7.15
322,fail,3,1159.0,100,1.75689,0.08801,5.63388,11.59
322,virtual,1,200.0,50,1.82414,0.11,5.31917,4.0
322,virtual,2,361.0,50,1.74914,0.08587,5.58772,7.22
322,virtual,3,523.0,50,1.73982,0.07839,5.74315,10.46
324,fail,1,400.0,100,1.76754,0.1025,5.26458,4.0
324,fail,2,708.0,100,1.69369,0.06497,5.62665,7.08
324,fail,3,1153.0,100,1.74616,0.08673,5.63096,11.53
324,virtual,1,200.0,50,1.76769,0.095,5.35917,4.0
324,virtual,2,370.0,50,1.70614,0.07027,5.53874,7.4
324,virtual,3,511.0,50,1.73022,0.08219,5.7681,10.22
