sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
304,closed,2,728.0,100,1.73823,0.08242,5.65133,7.28
304,closed,3,1119.0,100,1.72471,0.07596,5.74888,11.19
304,virtual,1,200.0,50,1.8254,0.115,5.1825,4.0
304,virtual,2,338.0,50,1.69383,0.06805,5.48817,6.76
304,virtual,3,508.0,50,1.74147,0.08661,5.71982,10.16
306,closed,1,400.0,100,1.7049,0.075,5.39917,4.0
306,closed,2,737.0,100,1.74589,0.08277,5.63659,7.37
306,closed,3,1130.0,100,1.71465,0.07257,5.73245,11.3
306,virtual,1,200.0,50,1.70075,0.07,5.4125,4.0
306,virtual,2,369.0,50,1.69614,0.07046,5.66079,7.38
306,virtual,3,567.0,50,1.73502,0.08466,5.81628,11.34
308,closed,1,400.0,100,1.7325,0.08,5.37583,4.0
308,closed,2,729.0,100,1.72457,0.07819,5.63969,7.29
308,closed,3,1112.0,100,1.69124,0.06655,5.7515,11.12
308,virtual,1,200.0,50,1.84505,0.125,5.37167,4.0
308,virtual,2,372.0,50,1.69372,0.0672,5.59498,7.44
308,virtual,3,558.0,50,1.6949,0.0681,5.69385,11.16
310,closed,1,400.0,100,1.71896,0.075,5.41292,4.0
310,closed,2,727.0,100,1.76105,0.08941,5.63297,7.27
310,closed,3,1136.0,100,1.68761,0.0625,5.73151,11.36
310,virtual,1,200.0,50,1.67809,0.065,5.2875,4.0
310,virtual,2,370.0,50,1.73641,0.08378,5.55405,7.4
310,virtual,3,539.0,50,1.70986,0.07236,5.73593,10.78
312,closed,1,400.0,100,1.66826,0.06,5.39167,4.0
312,closed,2,728.0,100,1.72856,0.0783,5.62637,7.28
312,closed,3,1126.0,100,1.70158,0.06927,5.7429,11.26
312,virtual,1,200.0,50,1.68124,0.07,5.17917,4.0
312,virtual,2,345.0,50,1.70958,0.07246,5.58309,6.9
312,virtual,3,527.0,50,1.70746,0.074,5.68849,10.54
314,closed,1,400.0,100,1.71312,0.075,5.39208,4.0
314,closed,2,738.0,100,1.73869,0.08266,5.59485,7.38
